Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Date Added
"Initial Investigation of Transmission of COVID-19 Among Crew Members During Quarantine of a Cruise Ship - Yokohama, Japan, February 2020","Kakimoto, Kensaku; Kamiya, Hajime; Yamagishi, Takuya; Matsui, Tamano; Suzuki, Motoi; Wakita, Takaji","An outbreak of coronavirus disease 2019 (COVID-19) among passengers and crew on a cruise ship led to quarantine of approximately 3,700 passengers and crew that began on February 3, 2020, and lasted for nearly 4 weeks at the Port of Yokohama, Japan (1). By February 9, 20 cases had occurred among the ship's crew members. By the end of quarantine, approximately 700 cases of COVID-19 had been laboratory-confirmed among passengers and crew. This report describes findings from the initial phase of the cruise ship investigation into COVID-19 cases among crew members during February 4-12, 2020.",2020,,MMWR. Morbidity and mortality weekly report,69,11,312-313,,10.15585/mmwr.mm6911e2,10218,#10241,Kakimoto 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment; Epidemiology",20-03-20
Does SARS-CoV-2 has a longer incubation period than SARS and MERS?,"Jiang, Xuan; Rayner, Simon; Luo, Min-Hua","The outbreak of a novel coronavirus (SARS-CoV-2) since December 2019 in Wuhan, the major transportation hub in central China, became an emergency of major international concern. While several etiological studies have begun to reveal the specific biological features of this virus, the epidemic characteristics need to be elucidated. Notably, a long incubation time was reported to be associated with SARS-CoV-2 infection, leading to adjustments in screening and control policies. To avoid the risk of virus spread, all potentially exposed subjects are required to be isolated for 14 days, which is the longest predicted incubation time. However, based on our analysis of a larger dataset available so far, we find there is no observable difference between the incubation time for SARS-CoV-2, severe acute respiratory syndrome coronavirus (SARS-CoV), and middle east respiratory syndrome coronavirus (MERS-CoV), highlighting the need for larger and well-annotated datasets.",2020,,Journal of Medical Virology,92,5,476-478,WOS:000515227800001,10.1002/jmv.25708,10683,#10247,Jiang 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment; Epidemiology",20-03-20
"An emerging coronavirus causing pneumonia outbreak in Wuhan, China: calling for developing therapeutic and prophylactic strategies (vol 17, pg 234, 2019)","Jiang, S.; Du, L.; Shi, Z.",,2020,,Emerging Microbes & Infections,9,1,539-539,WOS:000518958800001,10.1080/22221751.2020.1737363,10735,#10248,Jiang 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment; Virology, immunology",20-03-20
"Universities urge U.S. leaders to boost science budgets by 15%, ease rules to cope with pandemic","Jeffrey Mervis, David Malakoff","The U.S. research community is urgently asking the White House and Congress to take steps aimed at keeping academic research afloat during the coronavirus pandemic. Four organizations representing the nation’s major research institutions and medical schools today wrote to Congressional leaders, urging them to increase research spending at federal science agencies by some 15%, or $13 billion, in order to prevent students and researchers in all scientific disciplines from going broke, to help closed laboratories re-start once the pandemic eases, and to cover other unanticipated costs to the academic research enterprise.",2020,,Science,,,,,10.1126/science.abb8129,10167,#10251,JeffreyMervis 2020,,* Opinion piece,20-03-20
Safety Considerations in the Laboratory Testing of Specimens Suspected or Known to Contain the Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2),"Iwen, Peter C.; Stiles, Karen L.; Pentella, Michael A.",,,,American Journal of Clinical Pathology,,,,,10.1093/AJCP/AQAA047,10208,#10252,,,* Narrative review; Infection prevention and control,20-03-20
Coronavirus disease 2019: the harms of exaggerated information and non-evidence-based measures,"Ioannidis, John P. A.","The evolving coronavirus disease 2019 (COVID-19) epidemic(1) is certainly cause for concern. Proper communication and optimal decision-making is an ongoing challenge, as data evolve. The challenge is compounded, however, by exaggerated information. This can lead to inappropriate actions. It is important to differentiate promptly the true epidemic from an epidemic of false claims and potentially harmful actions.",2020,,,,,e13222-e13222,,10.1111/eci.13222,10225,#10254,Ioannidis 2020,,"* Opinion piece; Ethics, social science, economics",20-03-20
Covid-19: all non-urgent elective surgery is suspended for at least three months in England,"Iacobucci, Gareth",,2020,,BMJ (Clinical research ed.),368,,m1106-m1106,,10.1136/bmj.m1106,10255,#10259,Iacobucci 2020,,* Opinion piece,20-03-20
Covid-19: UK government calls on industry to help boost testing capacity to 25 000 people a day,"Iacobucci, Gareth","As many as 25 000 people a day will be tested for covid-19 in NHS hospitals within weeks in a push to increase capacity, the government has said. The announcement followed a meeting at Downing Street on 17 March, in which the prime minister and the health secretary told industry leaders that they would be given whatever support they needed to help the government boost testing capabilities throughout the country as quickly as possible. The government’s focus will remain on testing the highest priority cases first—namely, patients in intensive care units …",2020,,BMJ,368,,m1118-m1118,,10.1136/bmj.m1118,10172,#10260,Iacobucci 2020,,"* Opinion piece; Clinical aspects, diagnosis, treatment",20-03-20
COVID-19: What implications for sexual and reproductive health and rights globally?,"Hussein, Julia",,2020,,,,,01-Apr,,10.1080/26410397.2020.1746065,10231,#10261,Hussein 2020,,* Opinion piece,20-03-20
CT imaging of two cases of one family cluster 2019 novel coronavirus (2019-nCoV) pneumonia: inconsistency between clinical symptoms amelioration and imaging sign progression,"Hu, Xiaofei; Chen, Jiafei; Jiang, Xiaomei; Tao, Shiqi; Zhen, Zhiming; Zhou, Chaoyang; Wang, Jian",,2020,,Quantitative imaging in medicine and surgery,10,2,508-510,,10.21037/qims.2020.02.10,10237,#10268,Hu 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment",20-03-20
Novel Corona Virus (SARS-CoV-2),"Hoenemann, Mario; Luebbert, Christoph; Liebert, Uwe G.",,2020,,Deutsche Medizinische Wochenschrift,145,5,336-337,WOS:000518690700020,10.1055/a-1113-3096,10620,#10274,Hoenemann 2020,,* Narrative review,20-03-20
Clinical diagnostic value of CT imaging in COVID-19 with multiple negative RT-PCR testing,"Hao, Wendong; Li, Manxiang",,2020,,Travel medicine and infectious disease,,,101627-101627,MEDLINE:32179123,10.1016/j.tmaid.2020.101627,10414,#10283,Hao 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment",20-03-20
The course of clinical diagnosis and treatment of a case infected with coronavirus disease 2019,"Han, Wenzheng; Quan, Bin; Guo, Yi; Zhang, Jun; Lu, Yong; Feng, Gang; Wu, Qiwen; Fang, Fang; Cheng, Long; Jiao, Nanlin; Li, Xiaoning; Chen, Qing",,2020,,Journal of Medical Virology,92,5,461-463,WOS:000517096300001,10.1002/jmv.25711,10625,#10286,Han 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment",20-03-20
The burning building,"Godlee, Fiona","With the covid-19 pandemic, we have entered extraordinary times, when some things are known but many more are not and where decisions must be made nonetheless. The UK government’s recent actions (doi:10.1136/bmj.m1089) bring the country more in line with its European neighbours. Public health has now been prioritised over the economy. The change of heart seems to have been in response both to international criticism of its earlier laissez faire approach and to a new modelling study suggesting that the NHS would not cope unless more was done to curb the spread of the virus. Publication of this study means that we at last have some of the evidence on …",2020,,BMJ,368,,m1101-m1101,,10.1136/bmj.m1101,10173,#10306,Godlee 2020,,* Opinion piece,20-03-20
The first two cases of 2019-nCoV in Italy: Where they come from?,"Giovanetti, Marta; Benvenuto, Domenico; Angeletti, Silvia; Ciccozzi, Massimo","A novel Coronavirus, 2019-nCoV, has been identified as the causal pathogen of an ongoing epidemic, with the first cases reported in Wuhan, China, last December 2019, and has since spread to other countries worldwide, included Europe and very recently Italy. In this short report, phylogenetic reconstruction was used to better understand the transmission dynamics of the virus from its first introduction in China focusing on the more recent evidence of infection in a couple of Chinese tourists arrived in Italy on 23rd January 2020 and labeled as Coronavirus Italian cases. A maximum clade credibility tree has been built using a dataset of 54 genome sequences of 2019-nCoV plus two closely related bat strains (SARS-like CoV) available in GenBank. Bayesian time-scaled phylogenetic analysis was implemented in BEAST 1.10.4. The Bayesian phylogenetic reconstruction showed that 2019-2020 nCoV firstly introduced in Wuhan on 25 November 2019, started epidemic transmission reaching many countries worldwide, including Europe and Italy where the two strains isolated dated back 19 January 2020, the same that the Chinese tourists arrived in Italy. Strains isolated outside China were intermixed with strains isolated in China as evidence of likely imported cases in Rome, Italy, and Europe, as well. In conclusion, this report suggests that further spread of 2019-nCoV epidemic was supported by human mobility and that quarantine of suspected or diagnosed cases is useful to prevent further transmission. Viral genome phylogenetic analysis represents a useful tool for the evaluation of transmission dynamics and preventive action.",2020,,Journal of Medical Virology,92,5,518-521,WOS:000512724700001,10.1002/jmv.25699,10704,#10308,Giovanetti 2020,,"* Epidemiological study; Epidemiology; Virology, immunology",20-03-20
A doubt of multiple introduction of SARS-CoV-2 in Italy: a preliminary overview,"Giovanetti, Marta; Angeletti, Silvia; Benvenuto, Domenico; Ciccozzi, Massimo","The emergence of the novel beta Coronavirus, recently renamed as severe acute respiratory syndrome coronavirus 2, SARS-CoV-2, has raised serious concerns due to the virus rapid dissemination worldwide. Nevertheless, there is limited information about the genomic epidemiology of SARS-CoV-2 circulating in Italy from surveillance studies. The shortage of complete genomic sequences available impairs our understanding of the SARS-CoV-2 introduction and establishment in the country. To better understand its dynamics in Italy, we analysed complete genomes of SARS-CoV-2 isolates, obtained directly from clinical samples. Our phylogenetic reconstructions suggest possible multiple introduction of SARS-CoV-2. Continued genomic surveillance strategies are needed to improve monitoring and understanding of the currently SARS-CoV-2 epidemics, which might help to attenuate public health impact of infectious diseases. This article is protected by copyright. All rights reserved.",2020,,Journal of medical virology,,,,,10.1002/jmv.25773,10233,#10309,Giovanetti 2020,,"Epidemiology; Virology, immunology",20-03-20
Using Artificial Intelligence in Infection Prevention,"Fitzpatrick, Fidelma; Doherty, Aaron; Lacey, Gerard","Artificial intelligence (AI) offers huge potential in infection prevention and control (IPC). We explore its potential IPC benefits in epidemiology, laboratory infection diagnosis, and hand hygiene. AI has the potential to detect transmission events during outbreaks or predict high-risk patients, enabling development of tailored IPC interventions. AI offers opportunities to enhance diagnostics with objective pattern recognition, standardize the diagnosis of infections with IPC implications, and facilitate the dissemination of IPC expertise. AI hand hygiene applications can deliver behavior change, though it requires further evaluation in different clinical settings. However, staff can become dependent on automatic reminders, and performance returns to baseline if feedback is removed. Advantages for IPC include speed, consistency, and capability of handling infinitely large datasets. However, many challenges remain; improving the availability of high-quality representative datasets and consideration of biases within preexisting databases are important challenges for future developments. AI in itself will not improve IPC; this requires culture and behavior change. Most studies to date assess performance retrospectively so there is a need for prospective evaluation in the real-life, often chaotic, clinical setting. Close collaboration with IPC experts to interpret outputs and ensure clinical relevance is essential.",2020,,Current Treatment Options in Infectious Diseases,,,01-Oct,,10.1007/s40506-020-00216-7,10272,#10323,Fitzpatrick 2020,,* Narrative review; Infection prevention and control; Other related diseases and viruses,20-03-20
"COVID-19 Update with NIAID’s Anthony Fauci, MD; March 18, 2020 | Global Health | JN Learning | AMA Ed Hub","Fauci, N. IAID’s Anthony","Diagnostic testing, NSAIDs, ACE Inhibitors, antivirals, and more. Anthony Fauci, MD from NIAID discusses latest developments in the spread and clinical management of COVID-19 and the SARS-CoV-2 virus with JAMA Editor Howard Bauchner, MD.",2020,,,,,,,,10199,#10325,Fauci 2020,,* Opinion piece,20-03-20
Can angiotensin receptor-blocking drugs perhaps be harmful in the COVID-19 pandemic?,"Esler, Murray; Esler, Danielle",,2020,,Journal of Hypertension,Publish Ahead of Print,,,00004872-900000000-97003,10.1097/hjh.0000000000002450,10816,#10336,Esler 2020,,"* Opinion piece; Clinical aspects, diagnosis, treatment",20-03-20
"Preliminary case report on the SARS-CoV-2 cluster in the UK, France, and Spain","Emma, Hodcroft B.","Almost half of the confirmed COVID-19 cases detected so far in the United Kingdom are part of a large cluster of 13 British nationals who tested positive for SARS-CoV-2 in the UK, Spain, and France. Transmissions among this cluster occurred at a ski resort in France, and originated from a single infected traveller returning from a conference in Singapore where he acquired the virus. At least 21 individuals were exposed to the virus, tested, and quarantined, with 13 of those testing positive between the period of 6th February and 15th February. Here, all publicly available information about the primarily UK/France cluster is consolidated, providing a complete and accessible summary of the cases and their connections. Notable in this cluster are the number of individuals infected, the apparent absence of any severe illness among those infected, and a case of a ""delayed positive"" test during isolation after initially testing negative, at least 7 days after last possible contact.",2020,,Swiss Medical Weekly,150,,,WOS:000518204500001,,10672,#10337,Emma 2020,,* Narrative review; Epidemiology,20-03-20
Serial Interval of COVID-19 among Publicly Reported Confirmed Cases,"Du, Zhanwei; Xu, Xiaoke; Wu, Ye; Wang, Lin; Cowling, Benjamin J.; Meyers, Lauren Ancel","We estimate the distribution of serial intervals for 468 confirmed cases of 2019 novel coronavirus disease reported in China as of February 8, 2020. The mean interval was 3.96 days (95% CI 3.53-4.39 days), SD 4.75 days (95% CI 4.46-5.07 days); 12.6% of case reports indicated presymptomatic transmission.",2020,,Emerging infectious diseases,26,6,,,10.3201/eid2606.200357,10230,#10349,Du 2020,,* Epidemiological study; Epidemiology,20-03-20
Analyzing the epidemiological outbreak of COVID-19: A visual exploratory data analysis approach,"Dey, Samrat K.; Rahman, Md Mahbubur; Siddiqi, Umme R.; Howlader, Arpita","There is an obvious concern globally regarding the fact about the emerging coronavirus 2019 novel coronavirus (2019-nCoV) as a worldwide public health threat. As the outbreak of COVID-19 causes by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) progresses within China and beyond, rapidly available epidemiological data are needed to guide strategies for situational awareness and intervention. The recent outbreak of pneumonia in Wuhan, China, caused by the SARS-CoV-2 emphasizes the importance of analyzing the epidemiological data of this novel virus and predicting their risks of infecting people all around the globe. In this study, we present an effort to compile and analyze epidemiological outbreak information on COVID-19 based on the several open datasets on 2019-nCoV provided by the Johns Hopkins University, World Health Organization, Chinese Center for Disease Control and Prevention, National Health Commission, and DXY. An exploratory data analysis with visualizations has been made to understand the number of different cases reported (confirmed, death, and recovered) in different provinces of China and outside of China. Overall, at the outset of an outbreak like this, it is highly important to readily provide information to begin the evaluation necessary to understand the risks and begin containment activities.",2020,,Journal of Medical Virology,,,,WOS:000519094100001,10.1002/jmv.25743,10511,#10357,Dey 2020,,* Epidemiological study; Epidemiology,20-03-20
Human Coronaviruses and Other Respiratory Viruses: Underestimated Opportunistic Pathogens of the Central Nervous System?,"Desforges, Marc; Le Coupanec, Alain; Dubeau, Philippe; Bourgouin, Andreanne; Lajoie, Louise; Dube, Mathieu; Talbot, Pierre J.","Respiratory viruses infect the human upper respiratory tract, mostly causing mild diseases. However, in vulnerable populations, such as newborns, infants, the elderly and immune-compromised individuals, these opportunistic pathogens can also affect the lower respiratory tract, causing a more severe disease (e.g., pneumonia). Respiratory viruses can also exacerbate asthma and lead to various types of respiratory distress syndromes. Furthermore, as they can adapt fast and cross the species barrier, some of these pathogens, like influenza A and SARS-CoV, have occasionally caused epidemics or pandemics, and were associated with more serious clinical diseases and even mortality. For a few decades now, data reported in the scientific literature has also demonstrated that several respiratory viruses have neuroinvasive capacities, since they can spread from the respiratory tract to the central nervous system (CNS). Viruses infecting human CNS cells could then cause different types of encephalopathy, including encephalitis, and long-term neurological diseases. Like other well-recognized neuroinvasive human viruses, respiratory viruses may damage the CNS as a result of misdirected host immune responses that could be associated with autoimmunity in susceptible individuals (virus-induced neuro-immunopathology) and/or viral replication, which directly causes damage to CNS cells (virus-induced neuropathology). The etiological agent of several neurological disorders remains unidentified. Opportunistic human respiratory pathogens could be associated with the triggering or the exacerbation of these disorders whose etiology remains poorly understood. Herein, we present a global portrait of some of the most prevalent or emerging human respiratory viruses that have been associated with possible pathogenic processes in CNS infection, with a special emphasis on human coronaviruses.",2020,,Viruses-Basel,12,1,,WOS:000515930700086,10.3390/v12010014,10778,#10359,Desforges 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment; Other related diseases and viruses",20-03-20
Structure-Guided Mutagenesis Alters Deubiquitinating Activity and Attenuates Pathogenesis of a Murine Coronavirus,"Deng, Xufang; Chen, Yafang; Mielech, Anna M.; Hackbart, Matthew; Kesely, Kristina R.; Mettelman, Robert C.; O'Brien, Amornrat; Chapman, Mackenzie E.; Mesecar, Andrew D.; Baker, Susan C.","Coronaviruses express a multifunctional papain-like protease, termed PLP2. PLP2 acts as a protease that cleaves the viral replicase polyprotein, and a deubiquitinating (DUB) enzyme which removes ubiquitin moieties from ubiquitin-conjugated proteins. Previous in vitro studies implicated PLP2 DUB activity as a negative regulator of the host interferon (IFN) response, but the role of DUB activity during virus infection was unknown. Here, we used X-ray structure-guided mutagenesis and functional studies to identify amino acid substitutions within the ubiquitin-binding surface of PLP2 that reduced DUB activity without affecting polyprotein processing activity. We engineered a DUB mutation (Asp1772 to Ala) into a murine coronavirus and evaluated the replication and pathogenesis of the DUB mutant virus (DUBmut) in cultured macrophages and in mice. We found that the DUBmut virus replicates similarly as the wild-type virus in cultured cells, but the DUBmut virus activates an IFN response at earlier times compared to the wild-type virus infection in macrophages, consistent with DUB activity negatively regulating the IFN response. We compared the pathogenesis of the DUBmut virus to the wild-type virus and found that the DUBmut-infected mice had a statistically significant reduction (p<0.05) in viral titer in livers and spleens at day 5 post-infection, albeit both wild-type and DUBmut virus infections resulted in similar liver pathology. Overall, this study demonstrates that structure-guided mutagenesis aids the identification of critical determinants of PLP2-ubiquitin complex, and that PLP2 DUB activity plays a role as an interferon antagonist in coronavirus pathogenesis.IMPORTANCE Coronaviruses employ a genetic economy by encoding multifunctional proteins that function in viral replication and also modify the host environment to disarm the innate immune response. The coronavirus papain-like protease 2 (PLP2) domain possesses protease activity, which cleaves the viral replicase polyprotein, and also DUB activity (de-conjugating ubiquitin/ubiquitin-like molecules from modified substrates) using identical catalytic residues. To separate the DUB activity from the protease activity, we employed a structure-guided mutagenesis approach and identified residues that are important for ubiquitin-binding. We found that mutating the ubiquitin-binding residues results in a PLP2 that has reduced DUB activity but retains protease activity. We engineered a recombinant murine coronavirus to express the DUB mutant and showed that the DUB mutant virus activated an earlier type I interferon response in macrophages and exhibited reduced replication in mice. The results of this study demonstrate that PLP2/DUB is an interferon antagonist and a virulence trait of coronaviruses.",2020,,Journal of virology,,,,,10.1128/JVI.01734-19,10254,#10361,Deng 2020,,"Clinical aspects, diagnosis, treatment; Other related diseases and viruses",20-03-20
We Need Strong Public Health Care to Contain the Global Corona Pandemic,"De Ceukelaire, Wim; Bodini, Chiara",The corona virus (COVID-19) outbreak has spread from China to over a hundred countries in less than 2 months. Now is the time to take stock and to assess the responses of different countries to the...,2020,,International Journal of Health Services,,,002073142091672-002073142091672,,10.1177/0020731420916725,10216,#10363,DeCeukelaire 2020,,* Opinion piece,20-03-20
Traditional Chinese medicine for treatment of coronavirus disease 2019: a review,"Cui, Huan-Tian; Li, Yu-Ting; Guo, Li-Ying; Liu, Xiang-Guo; Wang, Lu-Shan; Jia, Jian-Wei; Liao, Jia-Bao; Miao, Jing; Zhang, Zhai-Yi; Wang, Li; Wang, Hong-Wu; Wen, Wei-Bo","Since late December in 2019, the coronavirus disease 2019 has received extensive attention for its widespread prevalence. A number of clinical workers and researchers have made great efforts to understand the pathogenesis and clinical characteristics and develop effective drugs for treatment. However, no effective drugs with antiviral effects on severe acute respiratory syndrome coronavirus 2 have been discovered currently. Traditional Chinese medicine (TCM) has gained abundant experience in the treatment of infectious diseases for thousands of years. In this review, the authors summarized the clinical outcome, pathogensis and current application of TCM on coronavirus disease 2019. Further, we discussed the potential mechanisms and the future research directions of TCM against severe acute respiratory syndrome coronavirus 2.",2020,,Traditional Medicine Research,5,2,65-73,WOS:000518426600002,10.12032/tmr20200222165,10617,#10368,Cui 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment",20-03-20
WHO Declares COVID-19 a Pandemic,"Cucinotta, Domenico; Vanelli, Maurizio","The World Health Organization (WHO) on March 11, 2020, has declared the novel coronavirus (COVID-19) outbreak a global pandemic (1). At a news briefing , WHO Director-General, Dr. Tedros Adhanom Ghebreyesus, noted that over the past 2 weeks, the number of cases outside China increased 13-fold and the number of countries with cases increased threefold. Further increases are expected. He said that the WHO is ""deeply concerned both by the alarming levels of spread and severity and by the alarming levels of inaction,"" and he called on countries to take action now to contain the virus. ""We should double down,"" he said. ""We should be more aggressive."" [...].",2020,,Acta bio-medica : Atenei Parmensis,91,1,157-160,,10.23750/abm.v91i1.9397,10220,#10369,Cucinotta 2020,,* Opinion piece,20-03-20
Global Crisis Leadership for Disease-Induced Threats: One Health and Urbanisation,"Connolly, John","Abstract The concept of ?One Health? (OH) has gathered momentum among the public health and animal health communities as an important global policy agenda for drawing together these disciplines to inform urban planning and health security policies. OH research, from a risk governance perspective, is generally concerned with identifying preventative programmes that can minimise the threats posed by diseases at the animal-human interface (e.g. Corona virus, Ebola, avian influenza, the Q virus, for example). This article, by drawing on examples of disease threats, discusses the multi-level challenges of establishing OH with a particular focus on urban change. It considers the risks posed by the increasing urbanisation of animal habitats and what this means for achieving OH. The article concludes by discussing why social scientists need to pay greater attention to the concept of OH.",2020,,Global Policy,n/a,n/a,,,10.1111/1758-5899.12806,10290,#10376,Connolly 2020,,* Opinion piece,20-03-20
CORONAVIRUS COVERAGE Covid-19: a digital epidemic,"Chiolero, Arnaud",,2020,,Bmj-British Medical Journal,368,,,WOS:000519536400004,10.1136/bmj.m764,10609,#10385,Chiolero 2020,,* Opinion piece,20-03-20
Kidney disease is associated with in-hospital death of patients with COVID-19,"Cheng, Yichun; Luo, Ran; Wang, Kun; Zhang, Meng; Wang, Zhixiang; Dong, Lei; Li, Junhua; Yao, Ying; Ge, Shuwang; Xu, Gang","In December 2019, a coronavirus 2019 (COVID-19) disease outbreak occurred in Wuhan, Hubei Province, China, and rapidly spread to other areas worldwide. Although diffuse alveolar damage and acute respiratory failure were the main features, the involvement of other organs needs to be explored. Since information on kidney disease in patients with COVID-19 is limited, we determined the prevalence of acute kidney injury (AKI) in patients with COVID-19. Further, we evaluated the association between markers of abnormal kidney function and death in patients with COVID-19. This was a prospective cohort study of 701 patients with COVID-19 admitted in a tertiary teaching hospital that also encompassed three affiliates following this major outbreak in Wuhan in 2020 of whom 113 (16.1%) died in hospital. Median age of the patients was 63 years (inter quartile range, 50-71), including 367 men and 334 women. On admission, 43.9% of patients had proteinuria and 26.7% had hematuria. The prevalence of elevated serum creatinine, elevated blood urea nitrogen and estimated glomerular filtration under 60 ml/min/1.73m2 were 14.4, 13.1 and 13.1%, respectively. During the study period, AKI occurred in 5.1% patients. Kaplan–Meier analysis demonstrated that patients with kidney disease had a significantly higher risk for in-hospital death. Cox proportional hazard regression confirmed that elevated baseline serum creatinine (hazard ratio: 2.10, 95% confidence interval: 1.36-3.26), elevated baseline blood urea nitrogen (3.97, 2.57-6.14), AKI stage 1 (1.90, 0.76-4.76), stage 2 (3.51, 1.49-8.26), stage 3 (4.38, 2.31-8.31), proteinuria 1+ (1.80, 0.81-4.00), 2+∼3+ (4.84, 2.00-11.70), and hematuria 1+ (2.99, 1.39-6.42), 2+∼3+ (5.56,2.58- 12.01) were independent risk factors for in-hospital death after adjusting for age, sex, disease severity, comorbidity and leukocyte count. Thus, our findings show the prevalence of kidney disease on admission and the development of AKI during hospitalization in patients with COVID-19 is high and is associated with in-hospital mortality. Hence, clinicians should increase their awareness of kidney disease in patients with severe COVID-19.",2020,,Kidney International,,,,,https://doi.org/10.1016/j.kint.2020.03.005,10266,#10390,Cheng 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment",20-03-20
A report of clinical diagnosis and treatment of nine cases of coronavirus disease 2019,"Chen, Qing; Quan, Bin; Li, Xiaoning; Gao, Guangjian; Zheng, Wenqiang; Zhang, Jun; Zhang, Zhiyun; Liu, Chunsheng; Li, Li; Wang, Chenglin; Zhang, Guihua; Li, Jiajia; Dai, Yunhai; Yang, Jianghua; Han, Wenzheng","Coronavirus disease 2019 (COVID-19) caused by the severe acute respiratory syndrome coronavirus 2 has become an important public health issue in the world. More than 118 000 cases were confirmed around the world. The main clinical manifestations were respiratory symptoms and occasional gastrointestinal symptoms. However, there is no unified standard for the diagnosis and treatment of COVID-19. In the retrospective analysis, we report nine cases of COVID-19, describe the history of contact, clinical manifestations, the course of diagnosis and clinical treatment before, during and after treatment.",2020,,Journal of medical virology,,,,MEDLINE:32162699,10.1002/jmv.25755,10504,#10401,Chen 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment",20-03-20
COVID-19 Disease With Positive Fecal and Negative Pharyngeal and Sputum Viral Tests,"Chen, Lijuan; Lou, Jianghua; Bai, Yan; Wang, Meiyun",,2020,,American Journal of Gastroenterology,Publish Ahead of Print,,,00000434-900000000-99371,10.14309/ajg.0000000000000610,10808,#10402,Chen 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment",20-03-20
Novel Coronavirus and Orthopaedic Surgery: Early Experiences from Singapore,"Chang Liang, Zhen; Wang, Wilson; Murphy, Diarmuid; Po Hui, James Hoi",,2020,,JBJS,Latest Articles,,,00004623-900000000-99807,10.2106/jbjs.20.00236,10807,#10409,ChangLiang 2020,,"* Opinion piece; Clinical aspects, diagnosis, treatment",20-03-20
"Genomic characterization of the 2019 novel human-pathogenic coronavirus isolated from a patient with atypical pneumonia after visiting Wuhan (vol 23, pg 2511, 2019)","Chan, J. F. W.; K-H, Kok; Zhu, Z.; Chu, H.; To, K. K. W.; Yuan, S.; Yuen, K. Y.",,2020,,Emerging Microbes & Infections,9,1,540-540,WOS:000518959700001,10.1080/22221751.2020.1737364,10741,#10411,Chan 2020,,,20-03-20
Genomic variance of the 2019-nCoV coronavirus,"Ceraolo, Carmine; Giorgi, Federico M.","There is a rising global concern for the recently emerged novel coronavirus (2019-nCoV). Full genomic sequences have been released by the worldwide scientific community in the last few weeks to understand the evolutionary origin and molecular characteristics of this virus. Taking advantage of all the genomic information currently available, we constructed a phylogenetic tree including also representatives of other coronaviridae, such as Bat coronavirus (BCoV) and severe acute respiratory syndrome. We confirm high sequence similarity (>99%) between all sequenced 2019-nCoVs genomes available, with the closest BCoV sequence sharing 96.2% sequence identity, confirming the notion of a zoonotic origin of 2019-nCoV. Despite the low heterogeneity of the 2019-nCoV genomes, we could identify at least two hypervariable genomic hotspots, one of which is responsible for a Serine/Leucine variation in the viral ORF8-encoded protein. Finally, we perform a full proteomic comparison with other coronaviridae, identifying key aminoacidic differences to be considered for antiviral strategies deriving from previous anti-coronavirus approaches.",2020,,Journal of Medical Virology,92,5,522-528,WOS:000517439500001,10.1002/jmv.25700,10692,#10412,Ceraolo 2020,,Other related diseases and viruses,20-03-20
"Severe Outcomes Among Patients with Coronavirus Disease 2019 (COVID-19) — United States, February 12–March 16, 2020","CDC COVID-19 Response Team, Centers for Disease Control and Prevention (CDC)","What is already known about this topic? Early data from China suggest that a majority of coronavirus disease 2019 (COVID-19) deaths have occurred among adults aged ≥60 years and among persons with serious underlying health conditions. What is added by this report? This first preliminary description of outcomes among patients with COVID-19 in the United States indicates that fatality was highest in persons aged ≥85, ranging from 10% to 27%, followed by 3% to 11% among persons aged 65–84 years, 1% to 3% among persons aged 55-64 years, <1% among persons aged 20–54 years, and no fatalities among persons aged ≤19 years. What are the implications for public health practice? COVID-19 can result in severe disease, including hospitalization, admission to an intensive care unit, and death, especially among older adults. Everyone can take actions, such as social distancing, to help slow the spread of COVID-19 and protect older adults from severe illness.",2020,,MMWR Morb Mortal Wkly Rep.,,,,,http://dx.doi.org/10.15585/mmwr.mm6912e2,10169,#10413,CDCCOVID-19ResponseTeam 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment",20-03-20
COVID-19: don't forget deaf people,"Castro, Helena Carla; Lins Ramos, Alex Sandro; Amorim, Gildete; Ratcliffe, Norman Arthur",,2020,,Nature,579,7799,343-343,MEDLINE:32184486,10.1038/d41586-020-00782-2,10627,#10414,Castro 2020,,"* Opinion piece; Ethics, social science, economics",20-03-20
